Ia,Ib,Ic,RPM,Classe
369,14,-394,1728,1
364,30,-405,1728,1
358,44,-413,1728,1
352,55,-418,1728,1
346,67,-424,1728,1
338,83,-432,1728,1
328,99,-440,1728,1
316,118,-446,1728,1
300,140,-453,1728,1
283,163,-459,1728,1
266,188,-467,1728,1
247,215,-476,1728,1
225,246,-485,1728,1
201,278,-493,1728,1
177,308,-499,1728,1
152,337,-505,1728,1
126,366,-508,1728,1
101,394,-510,1728,1
78,418,-513,1728,1
57,442,-515,1728,1
39,461,-517,1728,1
22,479,-518,1728,1
4,495,-517,1728,1
-12,508,-513,1728,1
-27,516,-508,1728,1
-39,522,-501,1728,1
-52,526,-493,1728,1
-67,529,-480,1728,1
-82,527,-463,1728,1
-99,522,-442,1728,1
-117,515,-417,1728,1
-134,504,-388,1728,1
-153,492,-357,1728,1
-175,481,-324,1728,1
-197,468,-289,1728,1
-219,454,-253,1728,1
-241,438,-215,1728,1
-264,423,-176,1728,1
-286,408,-139,1728,1
-306,394,-105,1728,1
-324,381,-74,1728,1
-341,369,-45,1728,1
-356,358,-18,1728,1
-371,348,8,1728,1
-383,336,31,1728,1
-389,325,49,1728,1
-394,315,64,1728,1
-399,304,80,1728,1
-405,292,98,1728,1
-408,279,115,1728,1
-410,264,131,1728,1
-410,248,148,1728,1
-409,231,164,1728,1
-409,214,181,1728,1
-411,194,203,1728,1
-411,173,225,1728,1
-410,150,246,1728,1
-407,127,267,1728,1
-404,103,289,1728,1
-400,77,311,1728,1
-396,54,330,1728,1
-393,33,348,1728,1
-389,14,363,1728,1
-385,-3,377,1728,1
-382,-20,391,1728,1
-378,-36,403,1728,1
-371,-50,411,1728,1
-365,-63,418,1728,1
-359,-75,424,1728,1
-351,-91,432,1728,1
-342,-108,440,1728,1
-329,-127,447,1728,1
-314,-149,454,1728,1
-297,-173,461,1728,1
-279,-198,468,1728,1
-260,-226,478,1728,1
-237,-257,487,1728,1
-213,-289,495,1728,1
-188,-320,501,1728,1
-163,-349,506,1728,1
-137,-378,509,1728,1
-112,-405,511,1728,1
-89,-430,513,1728,1
-68,-453,516,1728,1
-49,-473,517,1728,1
-32,-491,518,1728,1
-14,-508,517,1728,1
2,-520,513,1728,1
17,-528,507,1728,1
30,-534,501,1728,1
43,-538,492,1728,1
59,-541,479,1728,1
74,-539,462,1728,1
